2025-08-05T15:58:19.336507,197933960,alextatsy,Верификация,
2025-08-05T15:58:22.416391,197933960,alextatsy,Пробный анализ,
2025-08-05T15:58:25.645179,197933960,alextatsy,Пробный анализ,
2025-08-05T15:58:26.888052,197933960,alextatsy,Пробный анализ,
2025-08-06T17:23:02.756523,197933960,alextatsy,Подписка на месяц,
2025-08-06T17:23:29.321124,197933960,alextatsy,Верификация,
2025-08-06T17:23:34.166343,197933960,alextatsy,Пробный анализ,
2025-08-06T17:31:33.961852,197933960,alextatsy,Верификация,
2025-08-06T17:31:36.786623,197933960,alextatsy,Пробный анализ,
2025-08-06T17:33:23.049448,197933960,alextatsy,Верификация,
2025-08-06T17:33:31.257442,197933960,alextatsy,Пробный анализ,
2025-08-06T17:34:01.446577,197933960,alextatsy,Пробный анализ — ссылка,https://t.me/tatsy_ai
